MLOGP,RDCHI,quantitative response of LC50
0.59,1.879,2.838
1.737,2.472,6.848
0.779,2.709,2.201
-0.259,1.989,3.34
5.124,2.515,6.777
4.296,3.055,5.878
1.761,2.66,5.976
2.729,1.975,5.43
2.226,1.401,3.631
0.575,2.608,3.85
-0.273,1.577,3.936
4.153,3.383,5.783
5.989,2.712,6.99
1.348,2.119,4.016
3.028,2.225,6.176
3.677,2.324,5.001
3.322,2.901,7.676
4.281,3.357,4.713
0.706,1.768,1.22
3.16,2.827,5.301
3.133,2.324,6.21
0.8,1.509,3.118
0.347,1.334,0.935
2.461,1.975,5.691
3.314,2.031,4.864
2.842,2.154,4.268
0.224,2.108,1.888
4.794,3.99,9.945
2.273,2.459,4.288
2.067,1.8,3.941
-0.759,1.929,4.107
2.241,2.09,4.14
3.046,2.027,5.632
2.859,2.614,4.995
3.21,1.924,4.933
2.754,2.454,4.886
2.507,2.334,5.402
-0.081,1.577,0.59
2.274,2.005,3.115
2.273,2.575,3.63
2.461,1.975,4.852
6.166,2.959,8.271
1.415,2.074,5.001
4.115,3.934,10.047
0.623,2.116,5.922
2.296,1.924,4.464
2.226,1.401,3.492
4.449,2.988,6.56
0.143,4.805,3.795
1.297,2.042,2.829
1.676,1.509,5.308
2.239,2.296,5.441
2.826,2.709,5.036
1.616,2.97,4.168
0.189,4.677,6.064
1.348,2.09,4.024
0.18,1.627,2.188
3.306,2.832,4.301
2.054,2.891,9.14
6.232,2.728,7.61
1.649,2.527,3.138
1.543,2.527,3.43
-0.38,1.401,2.649
3.827,3.362,5.102
3.842,2.887,6.109
-0.755,2.214,5.13
3.247,2.789,6.074
1.602,2.687,7.341
3.138,1.509,3.87
3.652,3.557,4.249
1.406,3.511,2.593
1.672,1.334,2.642
4.452,2.862,6.508
2.509,2.09,3.64
5.472,2.676,5.64
1.769,2.239,4.494
0.454,2.227,6.059
5.551,3.231,6.004
1.834,2.176,5.069
3.447,2.307,4.932
2.981,2.784,6.475
5.469,2.573,6.623
3.259,1.979,4.3
2.193,2.056,6.13
1.907,2.892,3.536
0.349,2.397,5.76
1.459,2.72,6.52
3.747,2.935,8.113
2.193,2.031,4.179
0.64,2.614,5.762
0.893,1.918,4.263
3.478,1.924,4.138
0.491,2.854,8.349
-0.147,2.355,5.9
0.202,1.334,2.815
2.574,2.168,3.978
4.832,4.074,8.582
3.508,3.281,7.802
0.202,1.334,3.133
3.3,3.469,4.92
1.119,2.25,3.644
3.267,2.119,4.867
6.232,2.766,7.509
2.758,2.856,3.794
2.354,2.455,3.783
-0.081,1.678,1.07
0.083,3.249,2.928
4.634,2.027,4.874
2.604,1.475,3.46
2.577,2.707,3.603
1.145,2.637,9.15
3.267,2.318,4.1
-6.446,4.624,3.088
-0.392,3.629,3.573
2.859,2.614,4.7
3.617,2.074,6.11
1.94,1.997,3.226
3.373,3.471,4.943
-1.053,1.334,0.122
1.817,1.225,3.254
-1.095,1.726,1.188
3.089,3.015,6.442
4.478,4.984,5.44
4.396,3.542,4.579
-0.273,1.401,0.704
2.193,1.975,4.765
3.743,2.995,4.737
3.635,3.12,4.962
3.374,2.075,3.792
1.971,2.294,4.608
5.255,3.001,4.838
0.16,1.7,1.601
4.275,4.174,4.112
3.048,2.813,4.632
1.173,1.667,2.421
1.945,2.461,3.351
