MLOGP,RDCHI,quantitative response of LC50
1.671,3.501,3.742
0.623,2.116,5.922
-0.317,1.225,0.495
2.193,1.975,4.765
-0.147,2.355,5.9
4.396,3.542,4.579
1.971,2.472,3.52
2.736,2.183,5.527
6.166,2.959,8.271
4.737,3.907,5.749
0.16,1.7,1.601
3.267,2.119,4.867
0.575,2.608,3.85
2.509,2.119,4.31
-0.38,1.401,2.649
2.869,3.095,6.188
1.395,2.334,4.606
1.209,1.43,3.002
1.57,2.644,4.91
2.723,2.553,7.483
1.817,1.43,2.018
3.374,2.075,3.792
-0.081,1.577,2.959
2.604,1.559,3.655
1.789,3.373,3.432
3.795,1.975,5.42
1.246,2.031,4.011
4.588,2.744,6.19
3.743,2.995,4.737
2.758,2.856,3.794
2.193,2.056,6.13
4.168,3.329,4.72
1.886,2.287,3.591
3.988,3.169,7.478
6.728,4.392,6.537
0.845,1.155,5.562
1.651,2.785,3.072
2.859,2.614,4.995
3.314,2.031,4.864
5.255,3.001,4.838
2.419,1.225,3.74
6.232,2.766,7.509
-0.139,4.73,3.277
1.442,1.84,4.039
